date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:31:57	188/188	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Wed,%2002%20Dec%202020%2021:31:56%20GMT	http://circulareconomytoolkit.org/robots.txt		(from )
21:31:59	7322/7322	---MCZ	200	added ('OK')	text/html	etag:W/%221c9a-591e852749906%22	http://circulareconomytoolkit.org/	circulareconomytoolkit.org/index.html	(from )
21:31:59	3631/3631	---M--	200	added ('OK')	image/x-icon	etag:%22e2f-4e3384baac880%22	http://circulareconomytoolkit.org/favicon.ico	circulareconomytoolkit.org/favicon.ico	(from http://circulareconomytoolkit.org/)
21:32:01	13289/13289	---MCZ	200	added ('OK')	text/css	etag:W/%2233e9-4e7663902ae00%22	http://circulareconomytoolkit.org/css/style.css	circulareconomytoolkit.org/css/style.css	(from http://circulareconomytoolkit.org/)
21:32:02	52666/52666	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cdba-4e33858a93300%22	http://circulareconomytoolkit.org/js/cycle.js	circulareconomytoolkit.org/js/cycle.js	(from http://circulareconomytoolkit.org/)
21:32:04	214/214	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Dec%202020%2021:32:03%20GMT	http://circulareconomytoolkit.org/css/css/demo.css	circulareconomytoolkit.org/css/css/demo.css	(from http://circulareconomytoolkit.org/)
21:32:05	3960/3960	---MCZ	200	added ('OK')	text/css	etag:W/%22f78-4e952e1a32c40%22	http://circulareconomytoolkit.org/css/flexslider2.css	circulareconomytoolkit.org/css/flexslider2.css	(from http://circulareconomytoolkit.org/)
21:32:05	93871/93871	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216eaf-4e338588aae80%22	http://circulareconomytoolkit.org/js/jquery-1.7.1.min.js	circulareconomytoolkit.org/js/jquery-1.7.1.min.js	(from http://circulareconomytoolkit.org/)
21:32:06	41412/41412	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a1c4-4e48b2d832880%22	http://circulareconomytoolkit.org/js/jquery.flexslider2.js	circulareconomytoolkit.org/js/jquery.flexslider2.js	(from http://circulareconomytoolkit.org/)
21:32:07	2483/2483	---MCZ	200	added ('OK')	application/javascript	etag:W/%229b3-4e33857598180%22	http://circulareconomytoolkit.org/js/jquery.mousewheel.js	circulareconomytoolkit.org/js/jquery.mousewheel.js	(from http://circulareconomytoolkit.org/)
21:32:09	380/380	---MCZ	200	added ('OK')	application/javascript	etag:W/%2217c-4e338588aae80%22	http://circulareconomytoolkit.org/js/demo.js	circulareconomytoolkit.org/js/demo.js	(from http://circulareconomytoolkit.org/)
21:32:14	6663/6663	---MCZ	200	added ('OK')	text/html	etag:W/%221a07-4e766fd3a9d00%22	http://circulareconomytoolkit.org/introduction.html	circulareconomytoolkit.org/introduction.html	(from http://circulareconomytoolkit.org/)
21:32:14	11248/11248	---MCZ	200	added ('OK')	text/html	etag:W/%222bf0-4e76705c09ec0%22	http://circulareconomytoolkit.org/Toolkit.html	circulareconomytoolkit.org/Toolkit.html	(from http://circulareconomytoolkit.org/)
21:32:18	107185/107185	---M--	200	added ('OK')	image/png	etag:%221a2b1-4e45315dbfdc0%22	http://circulareconomytoolkit.org/images/Logo2.png	circulareconomytoolkit.org/images/Logo2.png	(from http://circulareconomytoolkit.org/)
21:32:18	42868/42868	---MCZ	200	added ('OK')	text/html	etag:W/%22a774-4e766fc18b240%22	http://circulareconomytoolkit.org/Assessmenttool.html	circulareconomytoolkit.org/Assessmenttool.html	(from http://circulareconomytoolkit.org/)
21:32:22	47109/47109	---M--	200	added ('OK')	image/png	etag:%22b805-4e5657c8e49c0%22	http://circulareconomytoolkit.org/img/Picture17.png	circulareconomytoolkit.org/img/Picture17.png	(from http://circulareconomytoolkit.org/)
21:32:26	2519/2519	---M--	200	added ('OK')	image/png	etag:%229d7-4e766a09a7480%22	http://circulareconomytoolkit.org/images/Survey.png	circulareconomytoolkit.org/images/Survey.png	(from http://circulareconomytoolkit.org/)
21:32:32	1181/1181	---M--	200	added ('OK')	image/png	etag:%2249d-4e766a6534c80%22	http://circulareconomytoolkit.org/images/About.png	circulareconomytoolkit.org/images/About.png	(from http://circulareconomytoolkit.org/)
21:32:38	11355/11355	---M--	200	added ('OK')	image/png	etag:%222c5b-4e3fd32999680%22	http://circulareconomytoolkit.org/images/tool/arrows.png	circulareconomytoolkit.org/images/tool/arrows.png	(from http://circulareconomytoolkit.org/css/style.css)
21:32:40	216/216	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Dec%202020%2021:32:36%20GMT	http://circulareconomytoolkit.org/css/images/prw.png	circulareconomytoolkit.org/css/images/prw.1c.delayed	(from http://circulareconomytoolkit.org/css/style.css)
21:32:48	3108/3108	---M--	200	added ('OK')	image/png	etag:%22c24-4e338558fbe00%22	http://circulareconomytoolkit.org/img/jump-to.png	circulareconomytoolkit.org/img/jump-to.png	(from http://circulareconomytoolkit.org/css/style.css)
21:32:48	183858/183858	---M--	200	added ('OK')	image/png	etag:%222ce32-4e5657d732b80%22	http://circulareconomytoolkit.org/img/Picture20.png	circulareconomytoolkit.org/img/Picture20.png	(from http://circulareconomytoolkit.org/)
21:32:48	4082/4082	---M--	200	added ('OK')	image/png	etag:%22ff2-4e952db333940%22	http://circulareconomytoolkit.org/images/bg_direction_nav2.png	circulareconomytoolkit.org/images/bg_direction_nav2.png	(from http://circulareconomytoolkit.org/css/flexslider2.css)
21:32:50	7322/7322	---MCZ	200	added ('OK')	text/html	etag:W/%221c9a-591e852749906%22	http://circulareconomytoolkit.org/index.html	circulareconomytoolkit.org/index-2.html	(from http://circulareconomytoolkit.org/)
21:32:52	13283/13283	---MCZ	200	added ('OK')	application/javascript	etag:W/%2233e3-4e3384b30b680%22	http://circulareconomytoolkit.org/jquery.maphilight.js	circulareconomytoolkit.org/jquery.maphilight.js	(from http://circulareconomytoolkit.org/introduction.html)
21:32:58	52666/52666	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cdba-4e3384be7d180%22	http://circulareconomytoolkit.org/cycle.js	circulareconomytoolkit.org/cycle.js	(from http://circulareconomytoolkit.org/Toolkit.html)
21:33:00	42808/42808	---MCZ	200	added ('OK')	text/html	etag:W/%22a738-4e76700635440%22	http://circulareconomytoolkit.org/design-manufacture-distribute.html	circulareconomytoolkit.org/design-manufacture-distribute.html	(from http://circulareconomytoolkit.org/Toolkit.html)
21:33:00	22531/22531	---MCZ	200	added ('OK')	text/html	etag:W/%225803-4e767072ed4c0%22	http://circulareconomytoolkit.org/usage.html	circulareconomytoolkit.org/usage.html	(from http://circulareconomytoolkit.org/Toolkit.html)
21:33:04	20704/20704	---MCZ	200	added ('OK')	text/html	etag:W/%2250e0-4e76704fa4180%22	http://circulareconomytoolkit.org/reuse-redistribute.html	circulareconomytoolkit.org/reuse-redistribute.html	(from http://circulareconomytoolkit.org/Toolkit.html)
21:33:08	22919/22919	---MCZ	200	added ('OK')	text/html	etag:W/%225987-4e76702d4f080%22	http://circulareconomytoolkit.org/products-as-a-service.html	circulareconomytoolkit.org/products-as-a-service.html	(from http://circulareconomytoolkit.org/Toolkit.html)
21:33:08	110/110	---MCZ	200	added ('OK')	text/html	etag:W/%226e-4e2dc371a5e00%22	http://circulareconomytoolkit.org/advanced.html	circulareconomytoolkit.org/advanced.html	(from http://circulareconomytoolkit.org/Toolkit.html)
21:33:10	207/207	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Dec%202020%2021:33:08%20GMT	http://circulareconomytoolkit.org/case.html	circulareconomytoolkit.org/case.2e.delayed	(from http://circulareconomytoolkit.org/Toolkit.html)
21:33:12	2565/2565	---MCZ	200	added ('OK')	text/css	etag:W/%22a05-4e490de3ff680%22	http://circulareconomytoolkit.org/css/styleq.css	circulareconomytoolkit.org/css/styleq.css	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:18	1655/1655	---MCZ	200	added ('OK')	application/javascript	etag:W/%22677-4e44258585100%22	http://circulareconomytoolkit.org/js/custom.js	circulareconomytoolkit.org/js/custom.js	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:20	11163/11163	---MCZ	200	added ('OK')	application/javascript	etag:W/%222b9b-4e441c9e3cf80%22	http://circulareconomytoolkit.org/js/tool.js	circulareconomytoolkit.org/js/tool.js	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:22	452096/452096	---M--	200	added ('OK')	application/msword	etag:%226e600-4e47995d850c0%22	http://circulareconomytoolkit.org/Press%20Release_Circular%20Economy%20Toolkit.doc	circulareconomytoolkit.org/Press%20Release_Circular%20Economy%20Toolkit.doc	(from http://circulareconomytoolkit.org/)
21:33:22	685/685	---MCZ	200	added ('OK')	text/css	etag:W/%222ad-4e42b67f9e680%22	http://circulareconomytoolkit.org/slider/css/simple-slider.css	circulareconomytoolkit.org/slider/css/simple-slider.css	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:24	370/370	---MCZ	200	added ('OK')	application/javascript	etag:W/%22172-4e338571c7880%22	http://circulareconomytoolkit.org/js/script.js	circulareconomytoolkit.org/js/script.js	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:28	35495/35495	---MCZ	200	added ('OK')	application/javascript	etag:W/%228aa7-4e3384dd01980%22	http://circulareconomytoolkit.org/fancybox/jquery.fancybox.js	circulareconomytoolkit.org/fancybox/jquery.fancybox.js	(from http://circulareconomytoolkit.org/Assessmenttool.html)
21:33:30	1774/1774	---M--	200	added ('OK')	image/png	etag:%226ee-4e3e70396af00%22	http://circulareconomytoolkit.org/images/tool/rect1_grey.png	circulareconomytoolkit.org/images/tool/rect1_grey.png	(from http://circulareconomytoolkit.org/Assessmenttool.html)
